StockName,1/28/2011,4/29/2011,5/20/2011,4/1/2011,5/27/2011,6/17/2011,4/15/2011,2/18/2011,3/18/2011,3/11/2011,6/24/2011,2/11/2011,6/10/2011,5/6/2011,6/3/2011,1/14/2011,4/8/2011,4/21/2011,3/4/2011,3/25/2011,2/4/2011,1/7/2011,2/25/2011,5/13/2011,1/21/2011
American Express,-4.7557,4.00509,3.58155,-0.395257,0.768624,1.12594,-0.237274,-1.91728,0.706794,0.957592,-0.0206825,6.34668,-2.82923,1.68118,-4.10586,4.63801,1.46898,2.74809,-0.0228676,1.87709,-0.70247,2.44804,-3.13752,-1.13863,-0.0651749
Boeing,-3.2019,5.65488,-1.44928,0.693878,0.574788,1.50561,-1.42566,0.467675,-2.90853,0.0558659,-3.65062,0.99398,-2.76886,-1.29434,-3.80463,0.93633,0.122649,3.74037,-0.92452,4.33917,3.06093,4.88284,-0.0691085,-0.353045,1.15721
Chevron,-0.55384,1.92791,0.529256,1.80451,2.05676,-0.869652,-3.18936,3.37173,3.67084,-4.0242,-0.9911,-0.853207,-1.21903,-6.0285,-3.45091,2.06707,1.0505,3.03001,1.43723,2.81148,3.47363,-0.512765,2.89227,-0.83293,0.903809
Cisco Systems,0.431862,3.48494,-1.72414,-1.84332,0.304692,-1.12285,-3.83964,0.0530786,-3.76193,-2.23312,-0.0669344,-15.4229,-5.73566,0.285551,-3.49608,1.2894,3.76249,0.35545,-1.18153,-0.346021,5.35117,2.54279,-0.480513,-3.70793,-2.35627
DuPont,3.81916,1.97522,0.0,1.99593,1.56522,-0.919448,-1.00992,2.8288,-0.357277,-2.21811,4.9697,3.72482,-1.0338,-3.17263,-5.43437,3.10559,-0.18018,3.00295,-0.645518,0.557621,4.74576,-0.579421,-1.60146,-3.69494,-2.38239
Kraft,-2.73973,0.418535,1.1194,0.829346,-0.629111,1.65094,5.13709,0.782524,-1.65027,0.443599,0.610643,-1.66774,-0.821837,1.42857,-1.98333,1.39114,-0.126143,2.01711,-0.754243,1.55945,2.16181,-1.79471,3.22266,3.19432,-0.191022
Caterpillar,3.20354,5.64811,-1.45461,3.26821,3.25765,-1.01104,-2.55408,2.22093,2.40764,-3.28757,3.64805,3.93495,-3.45137,-5.07571,-4.99013,0.858277,-3.45495,3.63705,0.311526,2.04864,3.59929,-0.688705,-2.72745,-4.0343,-1.49745
Bank of America,-4.5614,-0.324675,-2.60723,-0.372578,1.91805,-1.92837,-5.03704,-0.13541,-1.54278,1.41044,-0.661001,1.79187,-3.39893,-0.404531,-4.97051,7.62174,0.597015,-2.22399,-1.05116,-6.05634,4.23049,2.88809,-1.25174,-2.85016,-5.50398
Verizon,2.15023,1.9153,-0.295223,2.75107,-0.217687,0.794777,0.264901,0.853759,0.279799,-0.774979,1.83876,0.247934,-1.06832,-2.73937,-3.46789,-2.98222,-2.10226,-1.83511,0.0554631,1.71849,1.87991,-0.36051,-0.745033,-0.0536481,-1.21538
Microsoft,-0.963597,1.40845,-1.88301,-0.701481,2.27179,1.97562,-3.13097,-0.514706,-2.70694,-1.72216,0.537857,-1.97842,-0.83682,-0.269854,-4.24679,0.35461,2.43615,1.67331,-2.77257,1.74742,0.0,1.96078,-0.85885,-2.9845,-0.497159
IBM,2.43855,1.74769,0.206113,1.68998,-0.593472,0.0,1.69481,0.401998,-3.27004,0.513614,0.836897,-0.140176,-0.958971,-1.8709,-2.01259,2.04082,-0.225033,2.21088,-0.326435,2.87998,3.02802,0.489097,-0.788653,0.908605,3.79122
The Home Depot,0.658256,-1.22308,0.981194,0.266951,0.0,3.19785,1.92256,2.69549,-2.49187,-0.322061,2.30388,1.84783,-3.06979,-1.20192,-4.28413,5.0644,-0.0533618,0.265252,0.188425,3.11381,-0.888769,-2.32955,-5.64885,0.216626,1.50125
Walt Disney,-1.99294,1.79499,0.581677,-0.787219,0.899149,-1.52731,-0.574713,0.85668,-3.30675,-1.37836,-0.713342,6.39706,-1.73558,-0.943179,-6.01432,0.717765,-2.58922,3.17305,1.23199,3.64206,4.27766,4.531,0.280177,-4.15512,1.71487
Procter & Gamble,-2.57967,2.88523,1.0501,1.6372,-0.898204,0.0618716,3.48275,-0.771605,-0.720839,-0.822581,-2.97628,1.2197,-1.00979,0.0459841,-1.35685,1.75466,-0.434293,-0.628239,-1.22611,-0.131234,-1.14996,0.170834,-1.39652,2.97243,0.39604
Alcoa,1.63831,0.354191,-4.35294,1.98482,3.25815,-3.72793,-8.52713,-0.632547,1.00313,-3.31725,3.81731,0.230814,-4.0201,-0.694847,-4.8416,-4.42849,2.87026,3.72861,-1.36823,4.33455,5.93325,3.79267,-1.76678,-0.34965,-2.47066
Intel,2.0447,8.32943,-0.428816,-3.5225,-3.09773,-1.11993,-1.59442,2.35784,-3.5334,-3.78054,0.0471921,0.0919963,-1.92661,0.999131,-3.20713,1.78658,1.1622,9.88223,-0.873563,2.36181,0.603248,-1.66587,-0.410023,1.21055,-0.998573
Hewlett-Packard,-2.52731,-1.68047,-10.4975,-3.39463,3.87858,-0.370054,-1.10538,0.454076,0.0242072,-2.72727,0.316183,1.94928,-2.05613,0.294913,-3.13841,3.09853,0.123001,2.57758,-1.04505,1.62485,4.44836,6.79773,-10.2796,-0.931601,2.36238
Wal-Mart,2.36505,2.57463,-0.575436,-0.344102,-0.364299,-0.1701,1.92234,0.217155,-1.58548,0.631458,-0.550285,-0.677724,-2.1166,-0.108932,-2.22303,2.16216,0.439686,0.941974,0.618357,1.19853,-0.744021,-0.2766,-3.82828,1.36438,1.12502
